user,interestsHistory
sathvik,"#mer, #docke, react, frontend, mern, blackholes, space, cosmos, science, mystery, fantacy, actors, cinema, film, ilayaraja, biopic, dhanush, devin, ai, ml, jobs, technology, intelligence, newbie, nernet, introduction, music, isai, genius, melodies, welcome, nerdnet"
azeem,"devin, ai, ml, jobs, technology, intelligence, ipl, cricket, india, csk, mi, rcb, kkr, kohli, virat, cricketer, icc, bcci, blackholes, space, cosmos, science, mystery, fantacy, actors, cinema, film, ilayaraja, biopic, dhanush, react, frontend, mern, music, welcome, movies, mb"
sathish,"ipl, cricket, india, csk, mi, rcb, kkr, mongodb,, docke, music, isai, ilayaraja, genius, melodies, freefire, gaming, shooting, games, videogames, newbie, introduction, nerdnet, react, frontend, mern, movies, mb, actors, welcome"
praveen,"devin, ai, ml, jobs, technology, intelligence, newbie, nernet, introduction"
anirudh,"kohli, virat, cricketer, india, icc, bcci, movies, mb, actors, blackholes, space, cosmos, science, mystery, fantacy, devin, ai, ml, jobs, technology, intelligence, newbie, nernet, introduction, freefire, gaming, shooting, games, videogames, pubg, egames"
ravi sir,
Anuhya,"kohli, virat, cricketer, india, icc, bcci, ipl, cricket, csk, mi, rcb, kkr, devin, ai, ml, jobs, technology, intelligence, music, isai, ilayaraja, genius, melodies"
